,Regla,Soporte,Confianza,Lift
0,Mazorca->Apio,0.015838115030250587,0.5016850146034598,4.15118660273063
1,Zanahoria->Habichuela,0.01730631467703154,0.6207071991859577,4.202097729090032
2,Zanahoria->Mazorca,0.019192986686904653,0.6079532689283307,4.115755470706636
3,Zanahoria->Remolacha,0.01611473235500642,0.6893203883495146,4.666599070057127
4,"Ajo->Ahuyama,Apio",0.014114576314464248,0.5582047685834501,4.618858625377784
5,"Zanahoria->Ajo,Ahuyama",0.016043804835838258,0.6345021037868163,4.295487232824327
6,"Cebolla->Ahuyama,Apio",0.02817241061359397,0.5423265974877116,4.48747489014584
7,"Lechuga->Ahuyama,Apio",0.013823773485874784,0.6392259757297475,5.28926762674813
8,"Name->Ahuyama,Apio",0.01271021143493464,0.5624607658505963,4.654074823435045
9,"Papa->Ahuyama,Apio",0.021356276021533595,0.5165551552581917,4.274229402235882
10,"Pepino->Ahuyama,Apio",0.014405379143053714,0.634093037777084,5.2467951935649575
11,"Pimenton->Ahuyama,Apio",0.021469760052202653,0.6159951159951159,5.097044158051259
12,"Tomate->Ahuyama,Apio",0.023540843611912988,0.5304459005913378,4.389168206964736
13,"Yuca->Ahuyama,Apio",0.014313173368135102,0.5506139154160982,4.556048202394522
14,"Zanahoria->Ahuyama,Apio",0.02129244125428225,0.6650420912715995,4.502238519460844
15,"Cebolla->Mazorca,Ahuyama",0.01341948662661626,0.5117662969975656,7.388226341121214
16,"Cebolla->Name,Ahuyama",0.018256743433884913,0.5251989389920425,7.582149622112337
17,"Zanahoria->Cebolla,Ahuyama",0.03174006482775252,0.611004915346805,4.136414674437275
18,"Pepino->Ahuyama,Lechuga",0.011298753803488215,0.5224663824204657,6.867612604053613
19,"Zanahoria->Ahuyama,Lechuga",0.015206860109653945,0.7031813709412922,4.760435912207906
20,"Zanahoria->Ahuyama,Limon",0.010518551092638433,0.6777879341864717,4.588526027706543
21,"Papa->Mazorca,Ahuyama",0.010915745199980141,0.524182561307902,7.567476462854781
22,"Pimenton->Mazorca,Ahuyama",0.010007872954627666,0.5462640340689122,7.886260485289972
23,"Tomate->Mazorca,Ahuyama",0.01161083488782813,0.5146180446400503,7.429396221150528
24,"Zanahoria->Mazorca,Ahuyama",0.010993765471065118,0.7287259050305595,4.933368703752691
25,"Name->Papa,Ahuyama",0.015221045613487577,0.519738435456527,7.503317865715777
26,"Name->Ahuyama,Pimenton",0.013142869301860429,0.564594759293114,8.150896018633713
27,"Tomate->Name,Ahuyama",0.01572463099958153,0.5126011560693642,7.400278967137373
28,"Name->Yuca,Ahuyama",0.012979736007773655,0.5743879472693032,6.662474890789946
29,"Zanahoria->Name,Ahuyama",0.013079034534609082,0.5948387096774194,8.587519438737424
30,"Zanahoria->Ahuyama,Pepino",0.016625410493017186,0.731813924445832,4.954274147397168
31,"Zanahoria->Pimenton,Ahuyama",0.02410826376525828,0.6916971916971917,4.6826896840581655
32,"Zanahoria->Ahuyama,Platano",0.010107171481463093,0.6427604871447903,4.35139529060102
33,"Tomate->Zanahoria,Ahuyama",0.02756952670066459,0.6212242288636727,4.205597945033149
34,"Zanahoria->Aji,Apio",0.010788075665477449,0.6442185514612452,4.361266174587991
35,"Zanahoria->Pimenton,Aji",0.014462121158388243,0.6203224825068452,4.199493252960607
36,"Pepino->Ajo,Apio",0.014781294994644973,0.5420026007802341,4.4847939832974015
37,"Zanahoria->Ajo,Apio",0.023023072721985404,0.6295577967416602,4.262014991107747
38,"Zanahoria->Cilantro,Ajo",0.011412237834157275,0.6035258814703677,4.0857826996363045
39,"Zanahoria->Ajo,Lechuga",0.017185737894445666,0.6019875776397516,4.075368605774078
40,"Zanahoria->Name,Ajo",0.01017100624871444,0.6058301647655261,4.101382363398001
41,"Zanahoria->Ajo,Pepino",0.01787373483037684,0.6553966189856957,4.436940070785281
42,"Cebolla->Apio,Habichuela",0.01214988403350616,0.5300123762376238,4.385581014928478
43,"Cebolla->Mazorca,Apio",0.014667810963975913,0.5593724641601298,4.628520708343949
44,"Cebolla->Name,Apio",0.018909276610232003,0.5439706182411753,4.501078320042554
45,"Cebolla->Remolacha,Apio",0.010284490279383498,0.5319148936170213,4.401323372038864
46,"Zanahoria->Cebollin,Apio",0.010738426402059735,0.6434339141521462,4.355954293786467
47,"Lechuga->Cilantro,Apio",0.010348325046634844,0.5255763688760807,4.348875325516154
48,"Papa->Cilantro,Apio",0.013830866237791601,0.5107386066003143,4.2261004405171505
49,"Pimenton->Cilantro,Apio",0.014596883444807751,0.5280985373364127,4.369744978022389
50,"Zanahoria->Cilantro,Apio",0.013667732943704828,0.6488215488215489,4.392427799231795
51,"Tomate->Apio,Habichuela",0.01035541779855166,0.5334307636097917,4.413866420011792
52,"Lechuga->Name,Apio",0.010114264233379909,0.6611033843300881,5.470291980357697
53,"Lechuga->Pepino,Apio",0.015518941193993857,0.5652286230948075,4.676977424820342
54,"Lechuga->Yuca,Apio",0.011398052330323642,0.5605162190442972,4.637984694338659
55,"Zanahoria->Lechuga,Apio",0.02076757761243785,0.667578659370725,4.519410717661536
56,"Pepino->Limon,Apio",0.010461809077303904,0.5282951289398281,4.371371672873844
57,"Zanahoria->Limon,Apio",0.013880515501209315,0.633948817622287,4.291741565723069
58,"Papa->Mazorca,Apio",0.011561185624410416,0.5551771117166213,4.593806315148467
59,"Pimenton->Mazorca,Apio",0.011263290043904134,0.6147890050329076,5.087064207440848
60,"Tomate->Mazorca,Apio",0.012454872365929256,0.552027664256523,4.567746250124006
61,"Zanahoria->Mazorca,Apio",0.01149735085715907,0.7259292431706225,4.9144357085077734
62,"Name->Papa,Apio",0.01512174708665215,0.5163477839670623,4.272513510988447
63,"Name->Apio,Pimenton",0.01444793565455461,0.6206581352833638,5.135628254913209
64,"Tomate->Name,Apio",0.016270772897176374,0.5304046242774566,4.388826666603341
65,"Name->Yuca,Apio",0.012199533296923873,0.5754432920709267,6.674716109073459
66,"Zanahoria->Name,Apio",0.0135684344168694,0.6400133824021412,4.332797789853812
67,"Papa->Pepino,Apio",0.019973189397754436,0.5057471264367817,4.18479849810408
68,"Pimenton->Pepino,Apio",0.022363446793721497,0.5497820401046208,4.549164860162591
69,"Yuca->Pepino,Apio",0.011107249501734178,0.5800000000000001,4.7992030048711785
70,"Zanahoria->Pepino,Apio",0.021590336834788528,0.6880650994575045,4.658100946288971
71,"Pimenton->Yuca,Apio",0.01739852045195015,0.5318733738074588,4.400979816875393
72,"Zanahoria->Pimenton,Apio",0.036485115860102564,0.6526262369956864,4.418184986448902
73,"Zanahoria->Apio,Platano",0.011993843491336203,0.6191871109483705,4.191806952151149
74,"Tomate->Zanahoria,Apio",0.03849945740447836,0.5974683544303797,4.044774119983905
75,"Zanahoria->Yuca,Apio",0.01629914390484364,0.595799844438683,4.033478549292494
76,"Zanahoria->Cebolla,Berenjena",0.011844895701083063,0.6396016851780927,4.330010659347648
77,"Tomate->Zanahoria,Berenjena",0.010568200356056146,0.6509392747924858,4.406764496961384
78,"Zanahoria->Cebolla,Brocoli",0.01014972799296399,0.5251376146788991,4.518131882343522
79,"Zanahoria->Cebolla,Habichuela",0.015802651270666507,0.5667769015517681,4.876384241952904
80,"Zanahoria->Cebolla,Mazorca",0.017710601536290064,0.5609975286452482,4.826660191991511
81,"Cebolla->Yuca,Name",0.018462433239472584,0.5311160987553561,6.160553488064082
82,"Zanahoria->Cebolla,Papaya",0.010163913496797622,0.6296133567662565,4.262391124417447
83,"Zanahoria->Cebolla,Pepino",0.03652057961968664,0.6311595979406717,4.272858952946191
84,"Zanahoria->Cebolla,Remolacha",0.014774202242728155,0.6319781553398058,5.437356938012075
85,"Zanahoria->Pimenton,Cebollin",0.015377086155657534,0.6124293785310735,4.146058083631879
86,"Zanahoria->Cilantro,Lechuga",0.012022214499003469,0.6105907780979828,4.133611025317224
87,"Zanahoria->Papa,Cilantro",0.016107639603089603,0.5948140387637506,4.0268047878259114
88,"Pimenton->Cilantro,Pepino",0.011149806013235074,0.7383748238609675,4.013831278583202
89,"Zanahoria->Cilantro,Pepino",0.010944116207647405,0.7247534053546265,4.9064754570029505
90,"Zanahoria->Pimenton,Cilantro",0.017391427700033334,0.6292019502181164,4.259605961745031
91,"Zanahoria->Pimenton,Guayaba",0.010554014852222513,0.6449934980494147,4.366512450614085
92,"Papa->Guineo,Platano",0.010383788806218925,0.5230439442658091,7.333277909515928
93,"Zanahoria->Pimenton,Guineo",0.010419252565803006,0.6602247191011237,4.46962560843889
94,"Tomate->Guineo,Platano",0.011915823220251226,0.5013428827215757,7.029020653543381
95,"Zanahoria->Papa,Habichuela",0.010702962642475654,0.6846642468239563,4.63507766712104
96,"Zanahoria->Pimenton,Habichuela",0.012873344729021413,0.7438524590163934,5.035773280719403
97,"Tomate->Zanahoria,Habichuela",0.013341466355531283,0.6872488125685057,4.6525748024210625
98,"Zanahoria->Limon,Lechuga",0.013206704069111775,0.6165562913907285,4.173996685243803
99,"Tomate->Mazorca,Lechuga",0.011468979849491804,0.5083307136120716,5.368467339434634
100,"Zanahoria->Name,Lechuga",0.010100078729546276,0.6601761706073249,4.469296942175941
101,"Zanahoria->Pepino,Lechuga",0.018661030293143435,0.6796693360888659,4.601262845761698
102,"Zanahoria->Pimenton,Lechuga",0.02721488910482378,0.6195704828031648,4.194402324014953
103,"Zanahoria->Lechuga,Platano",0.011859081204916695,0.5933286018452804,4.0167485952926265
104,"Zanahoria->Yuca,Lechuga",0.012830788217520516,0.6309731426578306,4.271596677719431
105,"Zanahoria->Limon,Pepino",0.013469135890033974,0.6801575931232091,4.604568275081539
106,"Zanahoria->Pimenton,Limon",0.01988807637475264,0.6192579505300353,4.192286525846497
107,"Papa->Yuca,Mazorca",0.01093702345573059,0.5252043596730245,6.091981691973677
108,"Zanahoria->Papa,Mazorca",0.014291895112384654,0.6863079019073569,4.646204973687523
109,"Zanahoria->Pimenton,Mazorca",0.013937257516543844,0.7607433217189316,5.150121971853954
110,"Tomate->Zanahoria,Mazorca",0.01571753824766471,0.6966362779000314,4.716126581429345
111,"Name->Yuca,Papa",0.01620693812992503,0.55340276095907,6.419062267779377
112,"Zanahoria->Name,Pepino",0.010291583031300315,0.6989402697495184,4.731724272146108
113,"Name->Yuca,Pimenton",0.012717304186851457,0.5463132236441195,6.336828884274847
114,"Zanahoria->Name,Pimenton",0.015355807899907085,0.6596587446678854,4.465794043598411
115,"Tomate->Name,Yuca",0.016086361347339154,0.5243930635838151,6.082571258051708
116,"Zanahoria->Name,Yuca",0.012291739071842485,0.5590322580645162,6.484360265920039
117,"Zanahoria->Papa,Pepino",0.025299846087283404,0.640625,4.33693835230001
118,"Zanahoria->Papa,Remolacha",0.010929930703813772,0.7651439920556107,5.179913871887472
119,"Zanahoria->Pimenton,Pepino",0.028179503365510783,0.6927637314734089,4.68991000368311
120,"Zanahoria->Pepino,Platano",0.011192362524735973,0.6828212894850715,4.622601113185957
121,"Tomate->Zanahoria,Pepino",0.03338558327245388,0.6252656748140277,4.232957948062756
122,"Zanahoria->Yuca,Pepino",0.012866251977104597,0.6718518518518519,4.548339611098663
123,"Zanahoria->Pimenton,Platano",0.017320500180865173,0.6171341925701288,4.177908992426289
124,"Zanahoria->Pimenton,Remolacha",0.011185269772819155,0.7972699696663296,5.39740208169049
125,"Zanahoria->Pimenton,Yuca",0.020271084978260714,0.6196877710320902,4.1951963483166885
126,"Tomate->Zanahoria,Remolacha",0.013149962053777244,0.5625,5.998057215247315
